Location,Rate,Male,Female,Total Adult
U.S. total,480,909,63,626
Alabama,650,1234,101,847
Alaska,405,702,81,544
Arizona,583,1070,101,773
Arkansas,494,934,70,651
California,351,674,31,463
Colorado,392,715,66,514
Connecticut,333,645,35,426
Delaware,448,877,46,577
Florida,524,999,70,661
Georgia,542,1037,68,723
Hawaii,273,487,55,349
Idaho,499,871,126,680
Illinois,,,,
Indiana,440,814,77,581
Iowa,282,518,49,368
Kansas,325,606,46,433
Kentucky,489,875,114,637
Louisiana,870,1673,101,1148
Maine,145,276,20,181
Maryland,360,713,29,466
Massachusetts,199,395,15,252
Michigan,441,857,39,571
Minnesota,184,344,26,241
Mississippi,717,1370,100,954
Missouri,518,965,88,674
Montana,358,633,80,459
Nebraska,247,459,36,328
Nevada,,,,
New Hampshire,211,396,31,266
New Jersey,261,511,23,338
New Mexico,315,576,59,417
New York,276,545,22,352
North Carolina,357,688,43,466
North Dakota,213,372,49,274
Ohio,440,832,65,572
Oklahoma,648,1178,127,858
Oregon,378,700,62,485
Pennsylvania,398,772,41,506
Rhode Island,190,376,15,239
South Carolina,458,888,51,593
South Dakota,434,765,101,575
Tennessee,438,824,71,570
Texas,601,1121,88,820
Utah,242,437,45,351
Vermont,242,468,23,302
Virginia,451,845,69,582
Washington,249,460,38,323
West Virginia,378,681,84,477
Wisconsin,357,680,38,463
Wyoming,379,663,84,496